id;name;natural_rating;desciption;inci_name;rating;categories
13;Alantoina;3;"Alantoina to bezwonne bia³e kryszta³ki, które dobrze rozpuszczaj¹ siê w wodzie. Substancja mo¿e byæ pozyskiwana z naturalnych surowców (roœlin, œluzu œlimaka, mocznika byd³a) lub syntetyzowana sztucznie. Alantoina w kosmetykach dzia³a antyoksydacyjnie i leczniczo, wnikaj¹c g³êboko w skórê.

Alantoina ma w³aœciwoœci œci¹gaj¹ce, przeciwzapalne i przeciwbakteryjne. Dziêki swoim w³aœciwoœciom alantoina jest dobra dla skóry:

Odbudowuje barierê naskórkow¹, wspomaga gojenie, dlatego czêsto znajduje siê w kosmetykach dla osób ze stanami zapalnymi skóry. Korzystnie wp³ywa na odnowê naskórka i z³uszczanie martwych komórek. Zapobiega pojawianiu siê zaskórników, ³agodzi podra¿nienia. Neutralizuje dzia³anie wolnych rodników, spowalnia starzenie siê komórek. Jest hipoalergiczny.

Alantoina stosowana jest w kosmetykach do stymulacji odnowy tkanek. Mo¿na go znaleŸæ w kremach, pastach do zêbów, szamponach, antyperspirantach i dezodorantach. Kremy z alantoin¹ przydaj¹ siê na wakacjach: substancja pomaga zregenerowaæ skórê po oparzeniach s³onecznych w wyniku ekspozycji na wiatr, mróz i zmiany temperatury. Ze wzglêdu na dzia³anie regeneruj¹ce alantoina wchodzi w sk³ad maœci do leczenia uszkodzonych obszarów skóry.
Alantoinê stosuje siê równie¿ w produktach do pielêgnacji w³osów. Normalizuje pracê gruczo³ów ³ojowych, likwiduje ³upie¿, od¿ywia i nawil¿a w³osy, skórê g³owy, pokrywaj¹c w³osy filmem ochronnym.

Alantoina w kosmetykach wykazuje w³aœciwoœci regeneruj¹ce, przyspieszaj¹ce gojenie skóry, ³agodz¹ce podra¿nienia i swêdzenie. Ponadto substancja zmiêkcza warstwê rogow¹ naskórka i pomaga w usuwaniu martwych komórek. Dziêki temu nie dochodzi do zatykania porów, co zapobiega pojawianiu siê zaskórników. Ponadto alantoina wspomaga odnowê naskórka, dlatego czêsto znajduje siê w produktach do pielêgnacji przeciwstarzeniowej, a tak¿e w sk³adzie mêskich linii kosmetycznych: ³agodzi podra¿nienia i ³uszczenie po goleniu. Alantoina wystêpuje najczêœciej w produktach do pielêgnacji skóry suchej. Faktem jest, ¿e typowi suchemu brakuje wilgoci i sebum (sebum). Z tego powodu kurczy siê, ³uszczy i cierpi z powodu zimna i s³oñca. Niektóre sk³adniki kremów od¿ywczych pomagaj¹ zatrzymaæ wilgoæ, a alantoina niweluje podra¿nienia i ³uszczenie. Kosmetyki z t¹ substancj¹ polecane s¹ do regeneracji po oparzeniach s³onecznych, uszkodzeniach mechanicznych lub chemicznych. Zespó³ bólowy jest usuwany po pierwszym u¿yciu. ";ALLANTOIN;2;{Substancja aktywna}
14;¯el aloesowy;2;Zmiêkcza skórê, ³agodzi podra¿nienia. Wspomaga gojenie, dzia³a przeciwzapalnie. Aloes doskonale nawil¿a skórê, nie nadaj¹c jej nadmiernego blasku i nie zatykaj¹c porów: dlatego ten sk³adnik jest idealny do nawil¿ania skóry t³ustej i problematycznej. Kosmetyki z aloesem dziêki zawartoœci sk³adników przywracaj¹cych elastycznoœæ skóry, a tak¿e wspomagaj¹cych regeneracjê komórek, pomagaj¹ ukryæ p³ytkie rozstêpy. Ze wzglêdu na rewitalizuj¹ce w³aœciwoœci aloesu, kosmetyki lecznicze zawieraj¹ce ten sk³adnik „pobudzaj¹” do ¿ycia uœpione mieszki w³osowe, stymuluje wzrost nowych w³osów, a tym samym poprawia ich gêstoœæ. Jest bogaty w witaminy, w szczególnoœci doœæ rzadk¹ witaminê B12, aminokwasy 8 g³ównych AA (biopierwiastki odpowiedzialne za tworzenie bia³ka), flawonoidy.;ALOE BARBADENSIS LEAF JUICE;1;{Substancja aktywna}
15;Alpha-glucan oligosaccharide ;3;Oligosacharyd alfa glukanu to cz¹steczka wêglowodanowa, która jest bioselektywna i ma zdolnoœæ wi¹zania wody. Stabilizuje mikroflorê skóry poprzez stymulacjê wzrostu po¿ytecznych bakterii. Oligosacharyd Alpha Glucan to silny probiotyk, który pomaga w utrzymaniu naturalnej flory skóry. Skóra pokryta jest miliardami przyjaznych bakterii, grzybów i pleœni (tzw. flora saprofityczna), które bior¹ udzia³ w metabolizmie skóry – wydzielaniu lipazy i produkcji kwasu mlekowego. Oba s¹ niezbêdne do utrzymania równowagi pH i wspomagania uk³adu odpornoœciowego antygenami powierzchniowymi. ¯ywi¹ siê one (flor¹ saprofityczn¹) potem, sebum i martwym naskórkiem – chroni¹c organizm przed szkodliwymi mikroorganizmami. Zanieczyszczenia, stres, wiek, œwiat³o s³oneczne, ekstremalne temperatury i przepisywanie antybiotyków mog¹ niszczyæ i hamowaæ rozwój po¿ytecznej flory. Stresory te zaburzaj¹ równowagê mikroflory skóry i prowadz¹ do wzrostu szkodliwej flory, która powoduje swêdzenie skóry, zaczerwienienie, nadmierne ³uszczenie, podra¿nienia i infekcje. Oligosacharyd Alpha Glucan pomaga odbudowaæ i utrzymaæ mikroflorê skóry poprzez stymulacjê korzystnej mikroflory i utrzymanie niezbêdnych warunków do rozwoju tych ³agodnych organizmów. Niezwykle bezpieczny sk³adnik, alfa-glukan oligosacharyd, nie ma znanej toksycznoœci w powszechnym u¿yciu i wykazano, ¿e nie podra¿nia i jest odpowiedni dla wra¿liwej skóry.;ALPHA-GLUCAN OLIGOSACCHARIDE;2;{Substancja aktywna}
16;Alpha-Isomethyl Ionone;3;Syntetyczna substancja klasy zapachowej. Posiada przyjemny fioletowy zapach. Wykorzystywany jest zarówno w kosmetyce, jak i chemii gospodarczej w celu nadania zapachu produktowi lub zamaskowania niechcianych zapachów. Jest to substancja, która mo¿e wywo³ywaæ reakcje alergiczne. W sk³adzie u¿ytej kompozycji perfumeryjnej nale¿y wskazaæ na etykiecie produktu kosmetycznego lub perfumeryjnego, je¿eli jego stê¿enie przekracza 0,001% w produktach nieusuwalnych i 0,01% w produktach sp³ukiwanych. ;ALPHA-ISOMETHYL IONONE;3;{Sk³adnik substancji zapachowej}
17;Clorek glinu;3;Ogranicza wydzielanie potu. W wyniku polimeryzacji soli glinu w roztworze wodnym, pod wp³ywem fizjologicznego pH dochodzi do wytworzenia lepkiego ¿elu, który powierzchniowo uszczelnia ujœcia gruczo³ów potowych. Dzia³a równie¿ œci¹gaj¹co. Aluminum Chloride jest bezpieczny do stosowania w produktach kosmetycznych i nie podlega ¿adnym ograniczeniom stosowania. SCCS: W œwietle dostarczonych nowy ch danych SCCS uwa¿a, ¿e stosowanie zwi¹zków glinu jest bezpieczne przy stê¿eniach glinu do: · 6,25% w niepyl¹cych dezodorantach lub niepyl¹cych antyperspirantach · 10,60% w dezodorantach w aerozolu lub antyperspirantach w sprayu · 2,65% w pastach do zêbów · 0,77% w szmince Nara¿enie na aluminium mo¿e równie¿ wyst¹piæ ze Ÿróde³ innych ni¿ produkty kosmetyczne, a g³ównym Ÿród³em aluminium w populacji jest dieta (nie uwzglêdniano jej w tej ocenie). Chocia¿ niektóre antyperspiranty o d³ugotrwa³ym dzia³aniu wykorzystuj¹ce chlorek glinu mog¹ powodowaæ podra¿nienie oraz alergie, to uznaje siê to za rzadkie zjawisko. Znacz¹ce nagromadzenie aluminium w ciele jest ma³o prawdopodobne po codziennym stosowaniu produktów kosmetycznych aplikowanych na skórê. Jak dot¹d nie udowodniono zwi¹zku przyczynowego, ¿e aluminium mo¿e powodowaæ chorobê Alzheimera, chorobê Parkinsona i inne przewlek³e choroby neurodegeneracyjne.;ALUMINUM CHLORIDE;3;{Substancja aktywna}
18;Kopolimer akryloilodimetylotaurynianu amonu i poliwinylopirolidonu;3;Syntetyczny polimer stosowany jako œrodek ¿eluj¹cy do systemów wodnych oraz jako teksturyzator i zagêszczacz do emulsji typu olej w wodzie. Jest on wstêpnie zneutralizowany, ³atwy w u¿yciu i zapewnia preparaty o doskona³ej wartoœci wydajnoœci, co odpowiada doskona³ej stabilnoœci nawet przy braku dodatkowego emulgatora. Produkt ten charakteryzuje siê dobr¹ kompatybilnoœci¹ z rozpuszczalnikami organicznymi (etanol, aceton) i jest stabilny na promieniowanie UV i wysokie naprê¿enia œcinaj¹ce.;Ammonium Acryloyldimethyltaurate/VP Copolymer;2;{Zagêstnik}
19;Sól amonowa siarczanu alkoholu laurylowego;2;Anionowa substancja powierzchniowo czynna. Ma w³aœciwoœci myj¹ce oraz pianotwórcze i poprawiaj¹ce jakoœæ piany. Jest wra¿liwy na tward¹ wodê, zawieraj¹c¹ g³ównie jony wapnia i magnezu, dlatego w twardej wodzie pieni siê znacznie s³abiej ni¿ w wodzie miêkkiej.   Ammonium Lauryl Sulfate jest bezpieczny do stosowania w produktach kosmetycznych i nie podlega ¿adnym ograniczeniom stosowania. Na niektórych stronach internetowych pojawiaj¹ siê informacje o rakotwórczym dzia³aniu Ammonium Lauryl Sulfate (ALS). S¹ to informacje niezweryfikowane. Wed³ug wszelkich danych zawartych w publikacjach naukowych, ALS nie powoduje dzia³ania rakotwórczego. ALS jest substancj¹ o d³ugiej historii bezpiecznego u¿ycia i dobrze poznanym profilu toksykologicznym. Wiêcej informacji na stronie Europejskiej Agencji Chemikaliów. ALS mo¿e mieæ dzia³anie dra¿ni¹ce na skórê i b³ony œluzowe, dlatego w preparatach kosmetycznych jest stosowany w mieszaninach z innymi substancjami myj¹cymi (mieszaniny œrodków powierzchniowo czynnych zwykle nie wykazuj¹ dzia³ania dra¿ni¹cego) lub z substancjami ³agodz¹cymi dzia³anie dra¿ni¹ce. Wyczerpuj¹cy przegl¹d informacji dotycz¹cych bezpieczeñstwa ALS w produktach kosmetycznych mo¿na znaleŸæ w publikacjach Cosmetics Ingredients Review (CIR).;AMMONIUM LAURYL SULFATE;1;{Zwi¹zek powierzchniowo czynny, Substancja myj¹ca}
20;Amyl Cinnamal;3;"Amyl Cinnamal (alfa-amyl cinnamaldehyde) to jasno¿ó³ty, p³ynny, aromatyczny materia³ o kwiatowym zapachu, który nadaje formule nuty jaœminu. Amyl Cinnamal to bezpieczny syntetyczny zwi¹zek, który jest czêsto u¿ywany w procesach kosmetycznych i perfumeryjnych, aby odtworzyæ tropikalny i zmys³owy zapach jaœminu.

Aromatyczny sk³adnik u¿ywany w wielu perfumach i czêsto spotykany w zapachowych produktach do pielêgnacji skóry. Amylcinnamal nadaje zapach jaœminu. Jest uwa¿any za œrodek uczulaj¹cy skórê, wiêc powinien byæ wymieniony w opisie sk³adnika, podczas gdy w przesz³oœci firma kosmetyczna mog³a dodawaæ sk³adniki, takie jak amycynamal, do ogólnego terminu „zapach”.";AMYL CINNAMAL;3;{Sk³adnik substancji zapachowej}
21;Ekstrakt z ananasa;1;"„Ananas to nazwa zwyczajowa Ananas comosus, cz³onka rodziny roœlin Bromeliaceae. Ekstrakty z ananasa zawieraj¹ bromelainê, mieszankê enzymów i s¹ stosowane w pielêgnacji skóry, poniewa¿ bromelaina pomaga delikatnie z³uszczaæ skórê. Bromelaina ma równie¿ dzia³anie przeciwzapalne i przeciwbakteryjne.

Ananas jest bogaty w witaminy C i E, które s¹ niezbêdne do o¿ywienia skóry, gdy wygl¹da trochê lepiej. Wiadomo, ¿e rozjaœniaj¹ i wyrównuj¹ koloryt skóry, bêd¹c przeciwutleniaczem i zapobiegaj¹c zanieczyszczeniu skóry przez ca³y dzieñ.

Jako naturalny z³uszczacz ananas mo¿e pozostawiaæ skórê po bardziej suchej stronie spektrum, wiêc nie jest szczególnie idealny dla skóry odwodnionej. Jeœli jednak nadal chcesz spróbowaæ, mo¿esz zmieszaæ produkt na bazie ananasa ze sprawdzonym serum hialuronowym, aby wydobyæ jak najwiêcej ze swojej skóry.";ANANAS SATIVUS (PINEAPPLE) EXTRACT;1;{Substancja aktywna, Ekstrakt}
22;Woda;1;Woda w kosmetyku pe³ni funkcjê rozpuszczalnika, wp³ywa na konsystencjê produktu i jest noœnikiem aktywnych substancji w niej rozpuszczalnych. Je¿eli do produkcji kosmetyków stosujemy wodê termaln¹ lub hydrolaty kwiatowe to woda pe³ni wtedy tak¿e funkcjê sk³adnika aktywnego.;AQUA;1;{Rozpuszczalnik}
